eps,k,capacity,n_distinct,used_mem,Lsys,Ld,Ls,Ly,disp,spec,synth
25.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
26.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
27.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
28.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
29.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
30.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
31.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
32.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
33.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
34.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
35.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
36.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
37.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
38.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
39.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
40.3,3,11.9,3,6.841796875,14.463540157014174,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
10.5,5,8.06,3,5.1640625,10.028936327753513,0.40049957773419465,1.5786018500075443,1.735427499981597,mistral-7b__Q3_K_M__c4096,smollm2-360m__Q5_K_M__c2048,qwen2.5-0_5b__Q3_K_M__c4096
11.5,5,9.26,3,5.8203125,11.241543176341095,0.40049957773419465,1.5786018500075443,2.9480343485691787,mistral-7b__Q3_K_M__c4096,smollm2-360m__Q5_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048
12.5,5,9.4,3,6.04296875,12.025671426211359,0.40049957773419465,1.735427499981597,2.9480343485691787,mistral-7b__Q3_K_M__c4096,qwen2.5-0_5b__Q3_K_M__c4096,smollm2-1_7b__Q3_K_M__c2048
13.5,5,10.16,3,6.806640625,13.047915111366478,0.4016359113280714,1.5786018500075443,4.753269950000686,mistral-7b__Q3_K_M__c2048,smollm2-360m__Q5_K_M__c2048,gemma2-2b__Q5_K_M__c4096
14.5,5,11.36,3,6.81640625,13.701614561357587,0.4016359113280714,1.5786018500075443,5.4069693999917945,mistral-7b__Q3_K_M__c2048,smollm2-360m__Q5_K_M__c2048,phi3.5-mini__Q3_K_M__c2048
15.5,5,11.36,3,6.81640625,13.701614561357587,0.4016359113280714,1.5786018500075443,5.4069693999917945,mistral-7b__Q3_K_M__c2048,smollm2-360m__Q5_K_M__c2048,phi3.5-mini__Q3_K_M__c2048
16.5,5,11.36,3,6.81640625,13.701614561357587,0.4016359113280714,1.5786018500075443,5.4069693999917945,mistral-7b__Q3_K_M__c2048,smollm2-360m__Q5_K_M__c2048,phi3.5-mini__Q3_K_M__c2048
17.5,5,11.4,3,6.673828125,17.09677336147945,0.4016359113280714,2.2954672500345623,5.217801199978567,mistral-7b__Q3_K_M__c2048,llama3.2-1b__Q5_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
18.5,5,11.4,3,6.673828125,17.09677336147945,0.4016359113280714,2.2954672500345623,5.217801199978567,mistral-7b__Q3_K_M__c2048,llama3.2-1b__Q5_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
19.5,5,11.4,3,6.673828125,17.09677336147945,0.4016359113280714,2.2954672500345623,5.217801199978567,mistral-7b__Q3_K_M__c2048,llama3.2-1b__Q5_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
20.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
21.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
22.5,5,11.9,3,6.841796875,20.359608854152533,0.4016359113280714,2.9480343485691787,5.217801199978567,mistral-7b__Q3_K_M__c2048,smollm2-1_7b__Q3_K_M__c2048,qwen2.5-3b__Q3_K_M__c2048
