k,eps,bil_Q,bil_lat,bil_mem,bil,add_Q,add
5,12.0,1.2926867666138921,11.068289255930836,3.212890625,qwen2.5-0_5b|smollm2-360m|llama3.2-1b,1.1957299935897439,phi3.5-mini|smollm2-360m|llama3.2-1b
5,13.5,1.3694867666138921,13.367008305915192,6.5390625,qwen2.5-0_5b|smollm2-360m|phi3.5-mini,1.231292721153846,phi3.5-mini|llama3.2-1b|qwen2.5-0_5b
5,15.0,1.3917845717939348,14.652616256065926,3.923828125,qwen2.5-0_5b|llama3.2-1b|llama3.2-1b,1.2704927211538461,phi3.5-mini|llama3.2-1b|llama3.2-1b
5,16.5,1.453084571793935,16.38510130608131,5.009765625,qwen2.5-0_5b|llama3.2-1b|gemma2-2b,1.385022605932203,smollm2-360m|llama3.2-1b|gemma2-2b
5,18.0,1.457984571793935,17.668302906040594,5.810546875,qwen2.5-0_5b|llama3.2-1b|gemma2-2b,1.3472927211538461,phi3.5-mini|llama3.2-1b|phi3.5-mini
5,19.5,1.457984571793935,17.668302906040594,5.810546875,qwen2.5-0_5b|llama3.2-1b|gemma2-2b,1.3472927211538461,phi3.5-mini|llama3.2-1b|phi3.5-mini
5,21.0,1.457984571793935,17.668302906040594,5.810546875,qwen2.5-0_5b|llama3.2-1b|gemma2-2b,1.3472927211538461,phi3.5-mini|llama3.2-1b|phi3.5-mini
5,22.5,1.5039845717939349,21.06859355607969,6.693359375,qwen2.5-0_5b|llama3.2-1b|mistral-7b,1.2794555,mistral-7b|llama3.2-1b|mistral-7b
5,24.0,1.5039845717939349,21.06859355607969,6.693359375,qwen2.5-0_5b|llama3.2-1b|mistral-7b,1.2794555,mistral-7b|llama3.2-1b|mistral-7b
5,25.5,1.5039845717939349,21.06859355607969,6.693359375,qwen2.5-0_5b|llama3.2-1b|mistral-7b,1.2794555,mistral-7b|llama3.2-1b|mistral-7b
5,27.0,1.5039845717939349,21.06859355607969,6.693359375,qwen2.5-0_5b|llama3.2-1b|mistral-7b,1.2794555,mistral-7b|llama3.2-1b|mistral-7b
5,28.5,1.5039845717939349,21.06859355607969,6.693359375,qwen2.5-0_5b|llama3.2-1b|mistral-7b,1.2794555,mistral-7b|llama3.2-1b|mistral-7b
